procesos,ejecucion,tiempo
1,1,39.55
1,2,38.31
1,3,37.03
1,4,38.76
1,5,36.57
1,6,40.61
1,7,39.19
1,8,36.85
1,9,39.92
1,10,38.61
2,1,21.83
2,2,21.09
2,3,21.69
2,4,21.46
2,5,21.21
2,6,21.54
2,7,21.77
2,8,23.41
2,9,21.49
2,10,21.67
3,1,18.87
3,2,15.95
3,3,16.07
3,4,16.18
3,5,17.42
3,6,15.98
3,7,16.21
3,8,17.71
3,9,16.51
3,10,16.07
4,1,13.91
4,2,15.30
4,3,13.39
4,4,12.83
4,5,12.97
4,6,13.11
4,7,14.00
4,8,13.18
4,9,13.02
4,10,12.90
5,1,20.56
5,2,17.58
5,3,17.56
5,4,17.34
5,5,17.67
5,6,17.58
5,7,17.80
5,8,17.64
5,9,17.50
5,10,17.52
6,2,15.30
6,3,15.10
6,4,15.40
6,5,15.72
6,6,15.38
6,7,15.05
6,9,14.93
6,10,15.40
7,7,14.90
7,8,14.41
7,10,14.30
8,6,13.48
8,7,13.86
8,8,13.03
