procesos,ejecucion,tiempo
1,1,11.50
1,2,11.44
1,3,11.44
1,4,11.50
1,5,11.46
1,6,11.45
1,7,11.43
1,8,11.44
1,9,11.38
1,10,11.20
2,1,6.64
2,2,6.59
2,3,6.62
2,4,6.57
2,5,6.64
2,6,6.59
2,7,6.71
2,8,6.39
2,9,6.58
2,10,6.65
3,1,4.89
3,2,4.88
3,3,4.86
3,4,4.91
3,5,4.83
3,6,4.90
3,7,4.86
3,8,4.86
3,9,4.85
3,10,5.18
4,1,4.03
4,2,4.12
4,3,4.10
4,4,4.06
4,5,4.00
4,6,4.18
4,7,4.14
4,8,4.05
4,9,4.08
4,10,4.10
5,1,3.63
5,2,3.62
5,3,3.62
5,4,3.68
5,5,3.60
5,6,3.63
5,7,3.63
5,8,3.60
5,9,3.57
5,10,3.62
6,1,3.37
6,2,3.34
6,3,3.28
6,4,3.33
6,5,3.32
6,6,3.35
6,7,3.32
6,8,3.40
6,9,3.34
6,10,3.32
7,1,3.14
7,2,3.08
7,3,3.13
7,4,3.16
7,5,3.17
7,6,3.13
7,7,3.12
7,8,3.15
7,9,3.09
7,10,3.15
8,1,2.96
8,2,2.99
8,3,2.98
8,4,3.02
8,5,3.05
8,6,3.09
8,7,3.03
8,8,3.03
8,9,3.01
8,10,2.99
